,name,service_name,code,gu,dong,address_1,address_2,lat,lng
0,미스틱,공연장,CDFE1230002019000001,강남구,청담동,서울특별시 강남구 청담동 85-18번지 엠디가슴성형센터빌딩,"서울특별시 강남구 선릉로 814, 엠디가슴성형센터빌딩 B1호 (청담동)",37.5244906,127.0398381
1,테크인홀,공연장,CDFE1230002019000002,강남구,신사동,서울특별시 강남구 신사동 652-3번지 YK빌딩,"서울특별시 강남구 도산대로49길 8, YK빌딩 지하1층 (신사동)",37.5233671,127.0374302
2,광야 아트센터,공연장,CDFE1230002019000003,강남구,청담동,서울특별시 강남구 청담동 86번지,"서울특별시 강남구 선릉로 806, 3,4층 (청담동)",37.5238647,127.0396187
3,예인아트홀,공연장,CDFE1230002022000001,강남구,청담동,서울특별시 강남구 청담동 100-7 예인빌딩 지하 1층,"서울특별시 강남구 도산대로81길 45, 예인빌딩 지하 1층 (청담동)",37.5270391,127.0461894
4,광림아트센터 BBCH홀,공연장,CDFE1230002018000005,강남구,신사동,서울특별시 강남구 신사동 568-2,서울특별시 강남구 논현로163길 33 (신사동),37.5238869,127.0251531
5,세일아트홀,공연장,CDFE1230002020000002,강남구,역삼동,서울특별시 강남구 역삼동 727-13 세일빌딩,"서울특별시 강남구 논현로 414, 세일빌딩 지하1층 (역삼동)",37.4972199,127.0390176
6,JADE409(제이드409),공연장,CDFE1230002023000001,강남구,삼성동,서울특별시 강남구 삼성동 141-28 동신빌딩,"서울특별시 강남구 테헤란로 409, 동신빌딩 지하2층 (삼성동)",37.5054927,127.0504299
7,거암아트홀,공연장,CDFE1230002022000002,강남구,신사동,서울특별시 강남구 신사동 504-11 SINSA SQUARE,"서울특별시 강남구 강남대로 652, SINSA SQUARE 4층 (신사동)",37.519958,127.0189929
8,백암아트홀,공연장,CDFE1230002005000005,강남구,삼성동,서울특별시 강남구 삼성동 170-5번지,서울특별시 강남구 테헤란로113길 7 (삼성동),37.5105376,127.0659125
9,성암아트센타,공연장,CDFE1230002006000002,강남구,논현동,서울특별시 강남구 논현동 268-16번지 3층,"서울특별시 강남구 선릉로111길 6 (논현동,3층)",37.5110419,127.0429529
