,business_name,service_name,on,address,lat,lng,gu,dong,l_dong
0,(주)바른손 베니건스 압구정점,관광식당,영업중,서울특별시 강남구 논현동 94번지,37.5226047,127.0385355,강남구,논현,논현동
1,젠하이더웨이,관광식당,영업중,"서울특별시 강남구 신사동 645-18번지 1,2층",37.5260101,127.0355707,강남구,신사,신사동
2,중화요리첸,관광식당,영업중,서울특별시 강남구 청담동 52-8번지 지상1층,37.5242104,127.0528263,강남구,청담,청담동
3,티엔티엔,관광식당,영업중,서울특별시 강남구 역삼동 708-33번지 파라다이스빌딩 지하1층 101호,37.50292719999999,127.0485467,강남구,역삼,역삼동
4,폴,관광식당,영업중,서울특별시 강남구 청담동 22-16번지 1층,37.5221232,127.0409476,강남구,청담,청담동
5,(주)가배전문점,관광식당,영업중,서울특별시 강남구 청담동 96-6번지 1층,37.5254251,127.0455719,강남구,청담,청담동
6,(주)파리크라상 퀸스파크 청담점,관광식당,영업중,서울특별시 강남구 청담동 83-18번지,37.5259216,127.0416082,강남구,청담,청담동
7,78온더라이즈,관광식당,영업중,서울특별시 강남구 삼성동 78번지 삼안빌딩 1층,37.5199859,127.0577213,강남구,삼성,삼성동
8,그릴아지사이,관광식당,영업중,서울특별시 강남구 역삼동 647-11번지 동영빌딩 지상 1층,37.50035630000001,127.0332463,강남구,역삼,역삼1동
9,란나타이(양재점),관광식당,영업중,서울특별시 강남구 도곡동 953-1번지 지하1층 B107호,37.4853089,127.0344036,강남구,도곡,도곡동
10,첸,관광식당,영업중,서울특별시 강남구 역삼동 746-12번지,37.4969639,127.0382617,강남구,역삼,역삼동
11,팔장선원,관광식당,영업중,서울특별시 강남구 도곡동 518-7번지 1층,37.4828816,127.0431498,강남구,도곡,도곡동
12,(주)이닝,관광식당,영업중,서울특별시 강남구 청담동 22-12번지 1층,37.5224083,127.0412849,강남구,청담,청담동
13,도쿄 사이카보,관광식당,영업중,서울특별시 강남구 청담동 127-19번지 지상1층,37.525769,127.0524275,강남구,청담,청담동
14,드마리,관광식당,영업중,서울특별시 강남구 신사동 580-5번지 지하1층,37.5263156,127.0277602,강남구,신사,신사동
15,크리스탈제이드상하이딜라이트,관광식당,영업중,서울특별시 강남구 압구정동 현대백화점 본점 5층,37.5273268,127.0274265,강남구,압구,압구정동
16,키라,관광식당,영업중,서울특별시 강남구 청담동 99-12번지 2층,37.5251711,127.046068,강남구,청담,청담동
17,대가방본점,관광식당,영업중,서울특별시 강남구 논현동 99-7번지 지상1층,37.521186,127.0385322,강남구,논현,논현동
18,일일향,관광식당,영업중,서울특별시 강남구 신사동 601-3번지 동우빌딩 지상1층,37.5238199,127.0303531,강남구,신사,신사동
19,(주)토마틸로지에프씨,관광식당,영업중,서울특별시 강남구 역삼동 강남파이낸스센터 지하2층,37.499927,127.036789,강남구,역삼,역삼동
20,(주)일본요리점 청산,관광식당,영업중,서울특별시 강남구 청담동 2-10번지 남강빌딩 지하 1층,37.5229615,127.0407085,강남구,청담,청담동
