,service_name,store_name,on,address_1,address_2,gu,dong,lat,lng
0,골프연습장업,톰스크린골프(401),영업중,서울특별시 강남구 역삼동 838-11번지 미진빌딩 지층,서울특별시 강남구 도곡로 111,강남구,역삼동,37.49012829999999,127.0326539
1,골프연습장업,학동스크린골프(406),영업중,서울특별시 강남구 논현동 209번지 2층,"서울특별시 강남구 학동로 224 (논현동, 삼환아르누보3)",강남구,논현동,37.51445880000001,127.0332712
2,골프연습장업,장안골프(378)(스크린),영업중,서울특별시 강남구 역삼동 688-5번지 장안빌딩 3층,"서울특별시 강남구 언주로 550 (역삼동,장안빌딩 3층)",강남구,역삼동,37.5072744,127.0404417
3,골프연습장업,제이슨골프(379),영업중,서울특별시 강남구 삼성동 69번지 지층,"서울특별시 강남구 삼성로 626  (삼성동,지층)",강남구,삼성동,37.51397499999999,127.0561274
4,골프연습장업,세종스크린골프(380),영업중,서울특별시 강남구 수서동 712번지 수서한아름(아)상가 지층,"서울특별시 강남구 광평로51길 22 (수서동,수서한아름(아)상가 지층)",강남구,수서동,37.48915760000001,127.1032373
5,골프연습장업,논현골프연구소,영업중,서울특별시 강남구 논현동 267-1번지 제이케이빌딩 지층,"서울특별시 강남구 선릉로119길 5 (논현동,제이케이빌딩 지층)",강남구,논현동,37.5173944,127.0233285
6,골프연습장업,더핀(381),영업중,서울특별시 강남구 청담동 3-7번지 지층,"서울특별시 강남구 도산대로 430 (청담동, 서림빌딩)",강남구,청담동,37.5195969,127.0202723
7,골프연습장업,골프존파크역삼위너스크린점,영업중,서울특별시 강남구 역삼동 834-34 홍우빌딩 지층,"서울특별시 강남구 역삼로8길 15 (역삼동,홍우빌딩 지층)",강남구,역삼동,37.4930726,127.0340772
8,골프연습장업,조이앤푸드(스크린)(383),영업중,서울특별시 강남구 삼성동 154-8번지 지하2층,"서울특별시 강남구 테헤란로87길 35 (삼성동,지하2층)",강남구,삼성동,37.5098916,127.0575145
9,골프연습장업,이글(스크린)(384),영업중,서울특별시 강남구 역삼동 747-3번지 4호 지층,"서울특별시 강남구 역삼로 169 (역삼동,4호 지층)",강남구,역삼동,37.49557739999999,127.0374409
10,골프연습장업,플레잇골프(375),영업중,"서울특별시 강남구 역삼동 784-6번지 2,3층","서울특별시 강남구 언주로 309  (역삼동,2,3층)",강남구,역삼동,37.4951214,127.0458188
11,골프연습장업,필스크린골프(376)[3스크린 포함],영업중,서울특별시 강남구 삼성동 35-5번지 지층,"서울특별시 강남구 선릉로 616 (삼성동,지층)",강남구,삼성동,37.51397499999999,127.0561274
12,골프연습장업,브라보스크린골프(386),영업중,"서울특별시 강남구 대치동 935-36번지 신농플라자 지층103,102일부","서울특별시 강남구 도곡로63길 12 (대치동, 신농플라자)",강남구,대치동,37.4978196,127.0546022
13,골프연습장업,대치스크린골프(388),영업중,서울특별시 강남구 대치동 987-17번지 대치프라자2 지하1층,"서울특별시 강남구 도곡로 521, 지하1층 (대치동, 대치프라자2)",강남구,대치동,37.5000321,127.0632277
14,골프연습장업,원스스크린골프,영업중,서울특별시 강남구 논현동 39-18번지 지하2층,서울특별시 강남구 논현로131길 30 (논현동),강남구,논현동,37.5118856,127.0306633
15,골프연습장업,에이스타 골프 트랙맨 아카데미,영업중,서울특별시 강남구 대치동 912-31번지 지층,"서울특별시 강남구 삼성로71길 18 (대치동,지층)",강남구,대치동,37.498122,127.0745615
16,골프연습장업,클럽300(394),영업중,서울특별시 강남구 대치동 890-36번지 60 오이타워 지층,"서울특별시 강남구 테헤란로70길 12  (대치동,60 오이타워 지층)",강남구,대치동,37.5047023,127.0531444
17,골프연습장업,골프존 스카이(398),영업중,서울특별시 강남구 삼성동 69-14번지 15번지 지층,"서울특별시 강남구 삼성로 622 (삼성동, 대명빌딩)",강남구,삼성동,37.5152142,127.0524102
18,골프연습장업,에이원에스지(397),영업중,서울특별시 강남구 논현동 87-3번지 해바라기빌딩 지층,"서울특별시 강남구 논현로132길 8  (논현동,해바라기빌딩 지층)",강남구,논현동,37.5184932,127.0278352
19,골프연습장업,신사스크린골프(371),영업중,서울특별시 강남구 논현동 16번지 소망빌딩 3층,"서울특별시 강남구 강남대로150길 6 (논현동, 논현동 K 빌딩)",강남구,논현동,37.5176728,127.0246382
20,골프연습장업,P스크린골프,영업중,서울특별시 강남구 도곡동 957-11번지 극동스타클래스,"서울특별시 강남구 남부순환로 2615 (도곡동, 극동스타클래스)",강남구,도곡동,37.4851013,127.035744
21,골프연습장업,대청spo5,영업중,서울특별시 강남구 개포동 13-3번지 대청타워,"서울특별시 강남구 개포로 623, 대청타워 3층 (개포동)",강남구,개포동,37.4940992,127.0796795
22,골프연습장업,비다펠리즈(VIDA FELIZ),영업중,서울특별시 강남구 삼성동 161-17번지 경진빌딩,"서울특별시 강남구 영동대로106길 17, 경진빌딩 지하1층 (삼성동)",강남구,삼성동,37.5137461,127.0624848
23,골프연습장업,ARAM GOLF STUDIO,영업중,서울특별시 강남구 청담동 109-1,"서울특별시 강남구 도산대로85길 50-18, B1층 (청담동)",강남구,청담동,37.5271973,127.0516895
24,골프연습장업,YU Golf Studio,영업중,서울특별시 강남구 논현동 213-4번지,"서울특별시 강남구 논현로128길 18, 지하1층 (논현동)",강남구,논현동,37.5136255,127.0325865
25,골프연습장업,골프에비뉴,영업중,서울특별시 강남구 논현동 249-6 논현로얄팰리스,"서울특별시 강남구 언주로 626, 논현로얄팰리스 지하1층 1호 (논현동)",강남구,논현동,37.5124591,127.0359654
26,골프연습장업,키움골프 GDR 아카데미 역삼점,영업중,서울특별시 강남구 역삼동 755번지 한솔필리아,"서울특별시 강남구 역삼로 310, 한솔필리아 2층 33호 (역삼동)",강남구,역삼동,37.4991554,127.0483257
27,골프연습장업,(주)유디알 지에프,영업중,서울특별시 강남구 역삼동 722번지 경남아파트,"서울특별시 강남구 언주로85길 13, 지하1층 (역삼동, 경남아파트)",강남구,역삼동,37.5004607,127.0424651
