,name,service_name,code,gu,dong,address_1,address_2,lat,lng
0,호텔 인 나인,관광숙박업,CDFI2260032019000001,강남구,삼성동,서울특별시 강남구 삼성동 91-28번지,"서울특별시 강남구 영동대로 618, 호텔인나인 (삼성동)",37.5154693,127.0600658
1,호텔리베라 아노블리,관광숙박업,CDFI2260032019000002,강남구,청담동,서울특별시 강남구 청담동 91-2 4층,"서울특별시 강남구 도산대로 419, 4층층 (청담동)",37.5238674,127.0416279
2,안다즈 서울 강남,관광숙박업,CDFI2260032019000003,강남구,신사동,서울특별시 강남구 신사동 603,"서울특별시 강남구 논현로 854, 안다즈서울강남 (신사동)",37.5254876,127.0289201
3,보코 서울 강남,관광숙박업,CDFI2260032022000001,강남구,논현동,서울특별시 강남구 논현동 6 보코서울강남(가족호텔),"서울특별시 강남구 도산대로 144, 보코서울강남(가족호텔) (논현동)",37.5176728,127.0246382
4,신라스테이 삼성,관광숙박업,CDFI2260032020000001,강남구,삼성동,서울특별시 강남구 삼성동 168-3 유니온타워,"서울특별시 강남구 영동대로 506, 유니온타 (삼성동)",37.510056,127.063143
5,알로프트 서울 강남 호텔,관광숙박업,CDFI2260032014000002,강남구,청담동,서울특별시 강남구 청담동 131번지 알로프트 서울 강남 호텔,"서울특별시 강남구 영동대로 736 (청담동, 알로프트 서울 강남 호텔)",37.5236033,127.055954
6,에이치 에비뉴 호텔 역삼(H AVENUE HOTEL YEOKSAM),관광숙박업,CDFI2260032014000003,강남구,역삼동,서울특별시 강남구 역삼동 678-14 에이치 에비뉴 호텔 역삼,"서울특별시 강남구 테헤란로29길 12 (역삼동, 에이치 에비뉴 호텔 역삼)",37.502432,127.0386901
7,호텔 데님(Hotel Denim),관광숙박업,CDFI2260032015000001,강남구,개포동,서울특별시 강남구 개포동 1229-14,서울특별시 강남구 논현로 66 (개포동),37.4826764,127.0708612
8,리치웰 호텔(Richwell Hotel),관광숙박업,CDFI2260032015000003,강남구,역삼동,서울특별시 강남구 역삼동 677-9,서울특별시 강남구 테헤란로37길 13-10 (역삼동),37.5029717,127.0398233
9,인더시티호스텔,관광숙박업,CDFI2260032015000005,강남구,역삼동,서울특별시 강남구 역삼동 677-8,"서울특별시 강남구 테헤란로37길 13-8 (역삼동, 디엔에스리치빌)",37.5030297,127.0400057
10,더제리스플래닛 호텔,관광숙박업,CDFI2260032015000006,강남구,역삼동,서울특별시 강남구 역삼동 819-9,"서울특별시 강남구 강남대로92길 13 (역삼동, Jerry s planet Building)",37.4989916,127.0285788
11,호텔 카푸치노,관광숙박업,CDFI2260032015000008,강남구,논현동,서울특별시 강남구 논현동 206-1,"서울특별시 강남구 봉은사로 155 (논현동, 호텔 카푸치노)",37.5067961,127.0315248
12,베니키아 강남 노블레스 호텔,관광숙박업,CDFI2260032015000009,강남구,역삼동,서울특별시 강남구 역삼동 642-2,서울특별시 강남구 테헤란로25길 6-13 (역삼동),37.5013964,127.0357924
13,스텔라 호스텔,관광숙박업,CDFI2260032015000010,강남구,대치동,서울특별시 강남구 대치동 891-34번지 서원빌딩 3층~5층호,"서울특별시 강남구 선릉로90길 62, 서원빌딩 3층~5층층 (대치동)",37.5052794,127.0541608
14,K-그랜드 호스텔 강남 1,관광숙박업,CDFI2260032016000001,강남구,논현동,서울특별시 강남구 논현동 198-20,서울특별시 강남구 강남대로112길 11 (논현동),37.5169339,127.0241557
15,호텔 페이토 삼성,관광숙박업,CDFI2260032016000002,강남구,삼성동,서울특별시 강남구 삼성동 158-13번지,"서울특별시 강남구 테헤란로87길 9 (삼성동, 호텔페이토)",37.5084536,127.0587153
