,brand,store,gu,dong,address_1,address_2,lat,lng
0,GS25,GS25DXLAB점,강남구,역삼동,"역삼동 677-25, 큰길타워빌딩","강남구 테헤란로223, 1층 101호",37.50235508,127.04069826
1,GS25,GS25R서울강남4점,강남구,청담동,"청담동 125-17, KRA프라자","강남구 도산대로529, 4층",37.5250955,127.05158476
2,GS25,GS25R선릉7점,강남구,대치동,"대치동 890-8, 연봉빌딩","강남구 테헤란로416, 마사회선릉지사 7층",37.50502169,127.05179352
3,GS25,GS25S9봉은사역점,강남구,삼성동,삼성동 111-8,"강남구 봉은사로지하 601, , 9호선봉은사역 내",37.51442446,127.06028283
4,GS25,GS25S9삼성중앙역점,강남구,삼성동,삼성동 111-147,강남구 봉은사로지하 501,37.51164542,127.04855386
5,GS25,GS25S9신논현역점,강남구,역삼동,역삼동,"강남구 봉은사로지하 102, 9호선 신논현역 지하 상가",37.50662704,127.03197969
6,GS25,GS25S9언주역점,강남구,논현동,"논현동 279-165, 9호선 언주역","강남구 봉은사로지하 201, 지하 1층 926-1호",37.50748345,127.03423077
7,GS25,GS25SI타워점,강남구,역삼동,역삼동 679-4,"강남구 테헤란로203, 1층",37.50144648,127.03755445
8,GS25,GS25S강남구청역점,강남구,삼성동,강남구 삼성동1 7호선강남구청역내,강남구 삼성동1 7호선강남구청역내,37.51697895,127.04177805
9,GS25,GS25S강남역1호점,강남구,역삼동,"역삼동 825, 미진프라자","강남구 강남대로390, 지하1층 9호",37.49784131,127.02863248
10,GS25,GS25S강남역2호점,강남구,역삼동,역삼동 825,"강남구 강남대로390, B3층 38호",37.49784131,127.02863248
11,GS25,GS25S강남역3호점,강남구,역삼동,"역삼동 825, 신분당선","강남구 강남대로390, 지하3층",37.49784131,127.02863248
12,GS25,GS25S논현역점,강남구,논현동,논현역 상가1004,"강남구 학동로지하 102, 지하1층, GS25 S논현역점",37.51419073,127.03135035
13,GS25,GS25S매봉역점,강남구,도곡동,도곡동 179-2,"강남구 남부순환로지하 2744, 매봉역내 333-03호",37.48697736,127.04667313
14,GS25,GS25S역삼역점,강남구,역삼동,역삼동 804,"강남구 테헤란로지하 156, 역삼역 지하2층 221-216호",37.49981682,127.03660274
15,GS25,GS25S청담역점,강남구,청담동,7호선청담역,"강남구 학동로87길7,",37.51919311,127.05152372
16,GS25,GS25S학동역점,강남구,논현동,"논현동 279-67, 지하상가",강남구 학동로지하 180,37.51419073,127.03135035
17,GS25,GS25강남N타워점,강남구,역삼동,역삼동 648-17,"강남구 테헤란로129, 강남N타워 GF층 7호",37.49985525,127.03248557
18,GS25,GS25강남YBM점,강남구,역삼동,역삼동 818-14,강남구 강남대로94길9,37.49947669,127.02807975
19,GS25,GS25강남개포점,강남구,개포동,개포동 1244-14,"강남구 개포로15길10, 1층",37.47919916,127.04530212
20,GS25,GS25강남나누리점,강남구,논현동,논현동 63-19,"강남구 언주로147길10, 1층",37.52001905,127.03336784
21,GS25,GS25강남동원점,강남구,삼성동,"삼성2동 143-28, 동원빌딩",강남구 테헤란로77길7,37.50690916,127.05457469
22,GS25,GS25강남드림하이점,강남구,세곡동,"세곡동 615, 드림하이오피스텔","강남구 헌릉로569길21-30, 104호",37.46633315,127.10057538
23,GS25,GS25강남로데오점,강남구,신사동,신사동 662-18,"강남구 압구정로54길16, 1층",37.52684299,127.03925339
24,GS25,GS25강남메트로점,강남구,역삼동,"역삼1동 821-1, 대우쇼핑타운","강남구 테헤란로101, A동 10호",37.49860238,127.02804585
25,GS25,GS25강남본점,강남구,역삼동,역삼동 825-1,"강남구 테헤란로2길8, 1층",37.4975896,127.0287036
26,GS25,GS25강남사랑점,강남구,역삼동,역삼동 749-5,강남구 역삼로15길20,37.4961496,127.03550765
27,GS25,GS25강남상록회관점,강남구,역삼동,역삼동 699-27,강남구 언주로98길25,37.50489517,127.04392313
28,GS25,GS25강남세곡점,강남구,자곡동,자곡동 361,"강남구 밤고개로21길25, 상가동 지상1층 103호, 104호",37.47535526,127.10803093
29,GS25,GS25강남시티힐점,강남구,역삼동,"역삼동 620-9, 시티힐빌딩","강남구 강남대로98길17, 지하1층",37.50098036,127.02794716
30,GS25,GS25강남신사점,강남구,신사동,신사동 619-3,강남구 언주로173길13,37.52802151,127.03240473
31,GS25,GS25강남쌍용점,강남구,역삼동,"역삼1동 826-37, 쌍용플래티넘","강남구 테헤란로4길46, 109호",37.49525324,127.0305772
32,GS25,GS25강남아트점,강남구,역삼동,역삼동 618-3,"강남구 강남대로102길40, 1층",37.50341667,127.02836798
33,GS25,GS25강남에이스타워점,강남구,자곡동,"자곡동 649, 강남에이스타워G9","강남구 자곡로174-10, 1동 107호, 108호",37.47260453,127.10294222
34,GS25,GS25강남역삼점,강남구,역삼동,역삼동 690-29,"강남구 봉은사로48길32, 지하1층 2호",37.5073942,127.04208155
35,GS25,GS25강남영동점,강남구,논현동,논현1동 5-19,강남구 논현로149길50,37.51735111,127.02449956
36,GS25,GS25강남유블레스점,강남구,자곡동,"자곡동 651, 강남유탑유블레스오피스텔","강남구 자곡로180, 111-2호",37.47366958,127.10317822
37,GS25,GS25강남쥬비스점,강남구,대치동,"대치동 942-4, 쥬비스타워","강남구 삼성로434, 1층",37.50569924,127.05764377
38,GS25,GS25강남청담점,강남구,청담동,청담동 46-9,"강남구 학동로441, 1층",37.51889408,127.04907271
39,GS25,GS25강남타운점,강남구,역삼동,"역삼1동 649-10, 서림빌딩","강남구 테헤란로115, 1층",37.49906792,127.02987194
40,GS25,GS25강남태강점,강남구,역삼동,"역삼1동 823-8, 태강빌딩","강남구 테헤란로10길14, 1층",37.49819591,127.03231472
41,GS25,GS25강남태양점,강남구,역삼동,역삼1동 812,"강남구 봉은사로4길29, 1층",37.50296272,127.02685832
42,GS25,GS25강남헤븐리치점,강남구,역삼동,역삼동 605-17,"강남구 봉은사로170, 상가 107호",37.50656191,127.03282882
43,GS25,GS25개나리SK점,강남구,역삼동,역삼동 716-4,"강남구 역삼로315, 107호",37.50054055,127.05031208
44,GS25,GS25개포경남점,강남구,개포동,개포1동 649,강남구 언주로110,37.4844794,127.05426943
45,GS25,GS25개포늘푸른점,강남구,일원동,일원동 611-1,"강남구 영동대로22, 상가 826동 S1B1-0102호",37.49003634,127.07557168
46,GS25,GS25개포럭키점,강남구,개포동,개포4동 1232,강남구 개포로20길12,37.47791728,127.04724049
47,GS25,GS25개포미래점,강남구,개포동,개포동 1212,"강남구 개포로244, 1층",37.47881671,127.04927553
48,GS25,GS25개포빌리지점,강남구,개포동,개포동 1227-11,"강남구 논현로16길6, 1층 일부",37.47604181,127.0470834
49,GS25,GS25개포사랑점,강남구,개포동,개포동 1187-6,"강남구 논현로8길21, 1층",37.47443791,127.05043896
50,GS25,GS25개포소망점,강남구,개포동,"개포2동 186-15, 소망빌딩","강남구 개포로508, 109호,110호",37.48920145,127.06793778
51,GS25,GS25개포타운점,강남구,개포동,개포동 1196-6,강남구 논현로12길13,37.47474388,127.04927059
52,GS25,GS25개포포레스트점,강남구,개포동,"개포동 656-4, 개포래미안포레스트","강남구 개포로264, 상가 A동 108호",37.48013963,127.05243592
53,GS25,GS25그랜드신협점,강남구,삼성동,삼성동 159-8,강남구 테헤란로521,37.5090411,127.06090456
54,GS25,GS25논현77점,강남구,논현동,논현동 77,강남구 학동로33길46,37.51773009,127.03223221
55,GS25,GS25논현경남점,강남구,논현동,논현2동 262-32,강남구 학동로42길73,37.51099032,127.03775994
